HIVDeathRate,GDPLagK,GDPGrowthLag,OPENLag,POLITYLag,POLITYSQLag,InterstateWarLag,BatDeaths1000Lag
.066507876,5.1665406,4.2515073,68.37973,-3,9,0,0
.032780379,5.2479115,1.5749577,69.466408,-3,9,0,0
.064611547,5.2761068,.53726691,70.799767,-3,9,0,0
.15681273,5.5017104,2.7772806,71.607986,-3,9,0,0
.15448417,5.8330026,6.0216236,70.666931,-3,9,0,0
.30437547,6.0481911,3.6891544,71.113075,2,4,0,.5
.29983985,6.2911415,4.0169134,71.880836,2,4,0,.49000001
.29539761,6.2868252,-.068614058,68.103279,2,4,0,.191
.31642827,3.0154126,-4.5223999,64.275162,-7,49,0,5.8829999
.23023377,2.9628832,-1.7420243,67.966026,-7,49,0,5.8829999
.2228858,3.1818421,7.3900523,59.075176,-3,9,0,5.8829999
.1897739,3.0499618,-4.1447701,85.773926,0,0,0,3
.19501697,2.0454452,-32.935383,98.34671,-1,1,0,20
.20876765,2.1423509,4.7376246,130.94572,-1,1,0,20
.19332846,2.4735341,15.458881,127.23766,-2,4,0,0
.21617267,2.5667422,3.7682116,140.56184,-2,4,0,0
.21372199,2.9969201,16.75968,113.71817,-3,9,0,0
.23227619,2.5222268,-15.839375,122.61385,-3,9,0,1
.23929161,3.0589688,21.280479,143.93858,-3,9,0,0
.25754207,2.9014213,-5.1503396,131.88972,-3,9,0,0
.27940589,2.570318,-11.41177,149.9319,-3,9,0,0
.27737144,2.9923432,16.419189,131.67125,-2,4,0,.71499997
.29622164,2.9223506,-2.3390591,131.13315,-2,4,0,0
.30754483,3.1068394,6.3130293,124.1598,-2,4,0,0
.28472981,3.6676474,18.050758,128.72258,-2,4,0,0
.30905637,4.2938738,17.074333,110.18331,-2,4,0,0
.15346433,9.8339462,-6.8985863,19.985844,7,49,0,0
.15133956,9.4457598,-3.9474151,22.747721,7,49,0,0
.11942138,10.109419,7.0259933,24.563334,7,49,0,0
.15710194,10.905662,7.8762507,28.927946,7,49,0,0
.16474955,11.47177,5.1909652,29.39856,7,49,0,0
.15788762,11.912957,3.8458438,33.140327,7,49,0,0
.1843143,11.709228,-1.7101513,34.629143,7,49,0,0
.19614093,12.118012,3.4911408,37.223366,7,49,0,0
.16065609,12.778252,5.4484086,41.782887,7,49,0,0
.18079977,13.132144,2.7694821,43.965866,7,49,0,0
.18972394,12.717348,-3.1586282,41.976471,8,64,0,0
.19852769,12.51849,-1.5636752,42.704197,8,64,0,0
.22846714,12.066741,-3.608649,41.356491,8,64,0,0
.22102274,11.27366,-6.5724592,34.392365,8,64,0,0
.20327573,11.951106,6.0091143,37.068104,8,64,0,0
.2632452,12.647787,5.8294168,41.403225,8,64,0,0
.31174701,13.603168,7.5537491,44.256653,8,64,0,0
.35439926,14.495778,6.5617733,45.52153,8,64,0,0
.66455138,7.7148595,15.012835,65.587364,5,25,0,0
.66463691,8.7346745,13.218853,58.084049,5,25,0,0
.11719826,23.92691,2.1663158,27.4687,10,100,0,0
.28928488,23.209988,-2.9962964,28.84894,10,100,0,0
.28579596,23.074009,-.5858646,30.546831,10,100,0,0
.28301352,23.638577,2.446763,31.399622,10,100,0,0
.28003359,24.327576,2.9147243,32.791069,10,100,0,0
.27667108,25.381157,4.3308091,34.151272,10,100,0,0
.2730599,26.133129,2.9627166,35.242691,10,100,0,0
.10800885,27.019836,3.3930414,37.20256,10,100,0,0
.053444497,28.010096,3.6649337,37.765831,10,100,0,0
.052837368,29.169352,4.1387062,37.060925,10,100,0,0
.052211139,30.181963,3.4714928,39.015316,10,100,0,0
.051511873,30.239929,.1920563,40.041557,10,100,0,0
.050886959,31.03606,2.6327183,38.511215,10,100,0,0
.050262876,31.921644,2.8534029,38.889759,10,100,0,0
.049683515,33.042595,3.5115654,39.755424,10,100,0,0
.049032107,33.652279,1.8451372,41.464214,10,100,0,0
.02415704,34.323391,1.9942595,42.076344,10,100,0,0
.023792529,35.002605,1.9788779,43.390076,10,100,0,0
.25937372,25.200775,4.1459584,63.40456,10,100,0,0
.25644645,26.022577,3.2610221,65.434967,10,100,0,0
.25698617,26.569143,2.1003478,65.679939,10,100,0,0
.25224668,26.821407,.94946289,65.313354,10,100,0,0
.12612334,26.615637,-.76718873,62.823162,10,100,0,0
.12573765,27.09132,1.787235,66.223846,10,100,0,0
.12554981,27.609678,1.9133713,68.77858,10,100,0,0
.058931686,6.0808868,30.425135,111.25999,-7,49,0,.082999997
.058435936,8.1590166,34.174778,100.67213,-7,49,0,0
.10313164,23.506744,6.1679378,89.725342,,,0,0
.16766997,21.370632,-5.2833915,91.41098,,,0,0
.44284225,19.47217,-4.6454439,95.172737,,,0,0
.46928626,19.800247,1.6848607,95.023331,,,0,0
.4869706,20.837753,5.2398567,91.618744,,,0,0
.53522247,24.475403,-.47811025,101.19653,,,0,0
.20621002,25.085026,1.9468231,106.81528,,,0,0
.2036998,26.041513,3.8129885,114.81901,,,0,0
.20132449,27.344341,5.0028877,121.84244,,,0,0
.29769665,19.002602,3.0072758,121.76261,,,0,0
.29616991,20.339548,7.035594,127.97741,,,0,0
.58683169,21.556221,4.3079948,126.07067,,,0,0
.58429712,23.138716,7.3412447,118.04005,,,0,0
.58186156,23.064032,-.32276347,116.33183,,,0,0
.2835024,24.719688,3.9006608,120.29185,,,0,0
.098425195,8.3391533,-11.155293,102.49725,0,0,0,0
.099314727,9.8897314,15.604121,123.86536,-7,49,0,0
.24987507,11.243549,7.4957428,107.78049,-7,49,0,0
.25074571,12.188082,8.4006605,112.6278,-7,49,0,0
.50638199,14.610029,7.230648,117.13278,-7,49,0,0
.50893331,15.501163,6.0994711,122.49058,-7,49,0,0
.51147801,16.665342,7.5102601,133.42506,-7,49,0,0
.51374263,18.786848,12.730047,116.61626,-7,49,0,0
.56689346,20.17676,7.3983312,125.25092,-7,49,0,0
.20065413,23.761177,3.6211455,123.39085,10,100,0,0
.49977511,24.558912,3.3572953,124.59206,10,100,0,0
.49776009,24.806204,1.006929,126.70756,10,100,0,0
.24790521,25.089447,1.1418314,129.61569,10,100,0,0
.24714303,24.700428,-1.5505283,130.63281,10,100,0,0
.24662615,25.432047,2.9619656,136.26697,10,100,0,0
.24555545,26.372559,1.4404966,140.97662,10,100,0,0
.098010384,27.307289,3.5443277,143.52325,10,100,0,0
.048894975,27.828407,1.9083526,149.56873,10,100,0,0
.048770972,28.672091,3.0317295,151.67627,10,100,0,0
.048605032,29.692461,3.5587568,158.56842,10,100,0,0
.048388656,29.743305,.17123991,158.90842,10,100,0,0
.048187755,30.027258,.95467603,158.25865,10,100,0,0
.047979485,30.248993,.73844182,161.45024,10,100,0,0
.047716074,31.070299,2.7151558,167.14262,10,100,0,0
.047402535,31.750132,2.1880465,169.57141,10,100,0,0
.047055725,32.844227,3.4459577,168.03593,10,100,0,0
.21739131,7.4322443,-2.6491158,92.29216,,,0,0
.19966058,7.335475,-1.3020173,102.54294,,,0,0
.39176512,7.214715,-1.6462494,109.87121,,,0,0
.38125739,7.3570895,1.973392,125.0242,,,0,0
.37014419,7.9099708,7.5149436,129.77477,,,0,0
.89779502,8.0428171,1.6794823,126.42936,,,0,0
